transaction_item_id,transaction_id,product_id,quantity,price
TI00000095,TXN0000031,PROD00130,4,213000.0
TI00000096,TXN0000031,PROD00168,4,54200.0
TI00000097,TXN0000031,PROD00127,4,172600.0
TI00000098,TXN0000032,PROD00057,3,2101600.0
TI00000099,TXN0000033,PROD00118,4,97800.0
TI00000100,TXN0000033,PROD00145,1,626300.0
TI00000101,TXN0000034,PROD00140,1,10502400.0
TI00000102,TXN0000034,PROD00094,4,365200.0
TI00000103,TXN0000034,PROD00139,2,621000.0
TI00000104,TXN0000035,PROD00009,3,183500.0
TI00000105,TXN0000035,PROD00116,1,561100.0
TI00000106,TXN0000035,PROD00068,4,189500.0
TI00000107,TXN0000036,PROD00151,3,116700.0
TI00000108,TXN0000036,PROD00177,4,228400.0
TI00000109,TXN0000037,PROD00016,3,167400.0
TI00000110,TXN0000037,PROD00146,3,647500.0
TI00000111,TXN0000038,PROD00075,1,382900.0
TI00000112,TXN0000038,PROD00147,2,229500.0
TI00000113,TXN0000038,PROD00069,4,145200.0
TI00000114,TXN0000039,PROD00180,2,96700.0
TI00000115,TXN0000039,PROD00034,2,1485900.0
TI00000116,TXN0000040,PROD00126,3,219500.0
TI00000117,TXN0000040,PROD00037,4,718700.0
TI00000118,TXN0000040,PROD00148,4,272900.0
TI00000119,TXN0000040,PROD00162,4,532200.0
TI00000120,TXN0000041,PROD00178,4,55100.0
TI00000121,TXN0000041,PROD00095,3,428500.0
TI00000122,TXN0000041,PROD00117,1,188000.0
TI00000123,TXN0000042,PROD00017,2,61400.0
TI00000124,TXN0000042,PROD00137,4,59500.0
TI00000125,TXN0000042,PROD00102,2,171600.0
TI00000126,TXN0000043,PROD00141,4,527900.0
TI00000127,TXN0000043,PROD00148,3,272900.0
TI00000128,TXN0000043,PROD00034,1,1485900.0
TI00000129,TXN0000044,PROD00113,1,4916800.0
TI00000130,TXN0000044,PROD00117,4,188000.0
TI00000131,TXN0000045,PROD00167,2,79900.0
TI00000132,TXN0000045,PROD00078,3,473100.0
TI00000133,TXN0000046,PROD00022,2,1337300.0
TI00000134,TXN0000046,PROD00096,1,366200.0
TI00000135,TXN0000046,PROD00171,4,9207400.0
TI00000136,TXN0000047,PROD00110,1,130700.0
TI00000137,TXN0000047,PROD00168,1,54200.0
TI00000138,TXN0000048,PROD00020,4,176500.0
TI00000139,TXN0000048,PROD00034,1,1485900.0
TI00000140,TXN0000048,PROD00152,1,170900.0
TI00000141,TXN0000048,PROD00058,3,1306500.0
TI00000142,TXN0000049,PROD00019,1,353800.0
TI00000143,TXN0000049,PROD00059,1,3249400.0
TI00000144,TXN0000049,PROD00099,3,497200.0
TI00000145,TXN0000049,PROD00023,3,225100.0
TI00000146,TXN0000050,PROD00165,2,242000.0
TI00000147,TXN0000050,PROD00174,1,71600.0
TI00000148,TXN0000051,PROD00157,2,6815900.0
TI00000149,TXN0000052,PROD00161,4,231200.0
TI00000150,TXN0000052,PROD00039,4,1936200.0
TI00000151,TXN0000053,PROD00032,4,359500.0
TI00000152,TXN0000053,PROD00151,3,116700.0
TI00000153,TXN0000054,PROD00064,1,1537200.0
TI00000154,TXN0000054,PROD00071,2,501200.0
TI00000155,TXN0000055,PROD00156,3,117900.0
TI00000156,TXN0000055,PROD00073,2,55700.0
TI00000157,TXN0000055,PROD00177,2,228400.0
TI00000158,TXN0000055,PROD00007,4,456400.0
TI00000159,TXN0000055,PROD00169,3,6358700.0
TI00000160,TXN0000056,PROD00099,1,497200.0
TI00000161,TXN0000056,PROD00029,1,747300.0
TI00000162,TXN0000056,PROD00062,3,83600.0
TI00000163,TXN0000056,PROD00128,3,202200.0
TI00000164,TXN0000057,PROD00121,1,190400.0
TI00000165,TXN0000057,PROD00019,1,353800.0
TI00000166,TXN0000058,PROD00011,4,810900.0
TI00000167,TXN0000058,PROD00016,3,167400.0
TI00000168,TXN0000059,PROD00180,2,96700.0
TI00000169,TXN0000059,PROD00103,3,499800.0
TI00000170,TXN0000059,PROD00022,1,1337300.0
TI00000171,TXN0000059,PROD00164,3,103200.0
TI00000172,TXN0000060,PROD00101,1,11745100.0
TI00000173,TXN0000060,PROD00151,3,116700.0
TI00000174,TXN0000060,PROD00163,4,337100.0
TI00000175,TXN0000061,PROD00023,1,225100.0
TI00000176,TXN0000061,PROD00112,4,3050100.0
TI00000177,TXN0000062,PROD00031,2,571800.0
TI00000178,TXN0000062,PROD00004,1,1254300.0
TI00000179,TXN0000063,PROD00134,2,1383900.0
TI00000180,TXN0000063,PROD00133,3,521500.0
TI00000181,TXN0000063,PROD00067,2,1694500.0
TI00000182,TXN0000064,PROD00086,4,8987800.0
TI00000183,TXN0000065,PROD00161,3,231200.0
TI00000184,TXN0000065,PROD00020,1,176500.0
TI00000185,TXN0000065,PROD00128,4,202200.0
TI00000186,TXN0000065,PROD00117,2,188000.0
TI00000187,TXN0000065,PROD00131,3,2828000.0
TI00000188,TXN0000066,PROD00147,1,229500.0
TI00000189,TXN0000067,PROD00001,3,179800.0
TI00000190,TXN0000067,PROD00012,4,744700.0
TI00000191,TXN0000067,PROD00004,2,1254300.0
TI00000192,TXN0000067,PROD00063,2,631600.0
TI00000193,TXN0000067,PROD00121,1,190400.0
TI00000194,TXN0000068,PROD00058,3,1306500.0
TI00000195,TXN0000068,PROD00083,3,6771700.0
TI00000196,TXN0000068,PROD00064,1,1537200.0
TI00000197,TXN0000068,PROD00107,3,75800.0
TI00000198,TXN0000069,PROD00046,2,314500.0
TI00000199,TXN0000070,PROD00018,3,2056700.0
TI00000200,TXN0000070,PROD00120,1,283500.0
TI00000201,TXN0000070,PROD00073,4,55700.0
TI00000202,TXN0000070,PROD00080,1,204100.0
TI00000203,TXN0000071,PROD00063,2,631600.0
TI00000204,TXN0000071,PROD00119,2,3450500.0
TI00000205,TXN0000071,PROD00095,2,428500.0
TI00000206,TXN0000071,PROD00152,1,170900.0
TI00000207,TXN0000071,PROD00127,4,172600.0
TI00000208,TXN0000072,PROD00169,4,6358700.0
TI00000209,TXN0000073,PROD00136,4,787800.0
TI00000210,TXN0000073,PROD00061,4,8063300.0
TI00000211,TXN0000074,PROD00024,4,595000.0
TI00000212,TXN0000074,PROD00012,3,744700.0
TI00000213,TXN0000074,PROD00060,4,218600.0
TI00000214,TXN0000075,PROD00130,2,213000.0
TI00000215,TXN0000076,PROD00146,2,647500.0
TI00000216,TXN0000076,PROD00016,3,167400.0
TI00000217,TXN0000076,PROD00112,3,3050100.0
TI00000218,TXN0000076,PROD00170,3,806200.0
TI00000219,TXN0000076,PROD00034,4,1485900.0
TI00000220,TXN0000077,PROD00070,2,191800.0
TI00000221,TXN0000077,PROD00060,1,218600.0
TI00000222,TXN0000077,PROD00020,2,176500.0
TI00000223,TXN0000077,PROD00052,1,58000.0
TI00000224,TXN0000078,PROD00081,3,41700.0
TI00000225,TXN0000078,PROD00105,2,76100.0
TI00000226,TXN0000078,PROD00031,4,571800.0
TI00000227,TXN0000078,PROD00138,3,57200.0
TI00000228,TXN0000079,PROD00176,1,168200.0
TI00000229,TXN0000079,PROD00078,2,473100.0
TI00000230,TXN0000080,PROD00064,3,1537200.0
TI00000231,TXN0000081,PROD00174,3,71600.0
TI00000232,TXN0000082,PROD00143,4,115300.0
TI00000233,TXN0000082,PROD00141,1,527900.0
TI00000234,TXN0000082,PROD00064,2,1537200.0
TI00000235,TXN0000082,PROD00025,1,57900.0
TI00000236,TXN0000083,PROD00096,1,366200.0
TI00000237,TXN0000083,PROD00176,3,168200.0
TI00000238,TXN0000083,PROD00162,1,532200.0
TI00000239,TXN0000083,PROD00166,1,120600.0
TI00000240,TXN0000084,PROD00033,1,10971800.0
TI00000241,TXN0000084,PROD00024,4,595000.0
TI00000242,TXN0000084,PROD00085,1,262600.0
TI00000243,TXN0000084,PROD00032,2,359500.0
TI00000244,TXN0000085,PROD00128,4,202200.0
TI00000245,TXN0000085,PROD00008,2,86100.0
TI00000246,TXN0000085,PROD00098,3,66400.0
TI00000247,TXN0000085,PROD00175,2,99600.0
TI00000248,TXN0000086,PROD00115,2,1810600.0
TI00000249,TXN0000086,PROD00039,3,1936200.0
TI00000250,TXN0000086,PROD00009,4,183500.0
TI00000251,TXN0000087,PROD00023,3,225100.0
TI00000252,TXN0000088,PROD00052,1,58000.0
TI00000253,TXN0000088,PROD00165,4,242000.0
TI00000254,TXN0000088,PROD00135,3,495100.0
TI00000255,TXN0000088,PROD00064,4,1537200.0
TI00000256,TXN0000089,PROD00145,4,626300.0
TI00000257,TXN0000089,PROD00129,3,67800.0
TI00000258,TXN0000089,PROD00083,2,6771700.0
TI00000259,TXN0000090,PROD00015,3,327100.0
TI00000260,TXN0000090,PROD00121,2,190400.0
TI00000261,TXN0000090,PROD00136,2,787800.0
TI00000262,TXN0000091,PROD00069,1,145200.0
TI00000263,TXN0000091,PROD00137,2,59500.0
TI00000264,TXN0000092,PROD00045,3,75500.0
TI00000265,TXN0000092,PROD00046,3,314500.0
TI00000266,TXN0000092,PROD00061,1,8063300.0
TI00000267,TXN0000093,PROD00037,3,718700.0
TI00000268,TXN0000093,PROD00145,2,626300.0
TI00000269,TXN0000093,PROD00049,4,244600.0
TI00000270,TXN0000093,PROD00127,1,172600.0
TI00000271,TXN0000093,PROD00139,1,621000.0
TI00000272,TXN0000094,PROD00057,3,2101600.0
TI00000273,TXN0000094,PROD00006,2,1710300.0
TI00000274,TXN0000094,PROD00135,2,495100.0
TI00000275,TXN0000094,PROD00123,3,520300.0
TI00000276,TXN0000094,PROD00001,2,179800.0
TI00000277,TXN0000095,PROD00038,2,3280700.0
TI00000278,TXN0000096,PROD00096,4,366200.0
TI00000279,TXN0000097,PROD00035,4,3271400.0
TI00000280,TXN0000097,PROD00041,3,792800.0
TI00000281,TXN0000097,PROD00112,2,3050100.0
TI00000282,TXN0000098,PROD00171,2,9207400.0
TI00000283,TXN0000098,PROD00151,4,116700.0
TI00000284,TXN0000099,PROD00046,4,314500.0
TI00000285,TXN0000099,PROD00001,1,179800.0
TI00000286,TXN0000100,PROD00037,3,718700.0
TI00000287,TXN0000100,PROD00085,3,262600.0
TI00000288,TXN0000100,PROD00020,2,176500.0
TI00000289,TXN0000100,PROD00061,1,8063300.0
TI00000290,TXN0000101,PROD00068,2,189500.0
TI00000291,TXN0000102,PROD00001,1,179800.0
TI00000292,TXN0000103,PROD00097,4,2301200.0
TI00000293,TXN0000103,PROD00090,2,838900.0
TI00000294,TXN0000103,PROD00140,2,10502400.0
TI00000295,TXN0000103,PROD00026,4,1447900.0
TI00000296,TXN0000104,PROD00067,3,1694500.0
TI00000297,TXN0000104,PROD00027,2,124600.0
TI00000298,TXN0000104,PROD00019,4,353800.0
TI00000299,TXN0000105,PROD00141,1,527900.0
TI00000300,TXN0000106,PROD00124,4,11671600.0
TI00000301,TXN0000106,PROD00008,2,86100.0
TI00000302,TXN0000106,PROD00111,1,5440300.0
TI00000303,TXN0000106,PROD00168,1,54200.0
TI00000304,TXN0000106,PROD00043,3,223400.0
TI00000305,TXN0000107,PROD00068,1,189500.0
TI00000306,TXN0000107,PROD00170,1,806200.0
TI00000307,TXN0000107,PROD00073,4,55700.0
TI00000308,TXN0000107,PROD00077,4,37900.0
TI00000309,TXN0000107,PROD00061,2,8063300.0
TI00000310,TXN0000108,PROD00110,1,130700.0
TI00000311,TXN0000109,PROD00123,2,520300.0
TI00000312,TXN0000109,PROD00052,3,58000.0
TI00000313,TXN0000109,PROD00025,1,57900.0
TI00000314,TXN0000109,PROD00007,4,456400.0
TI00000315,TXN0000109,PROD00053,1,197800.0
TI00000316,TXN0000110,PROD00126,4,219500.0
TI00000317,TXN0000110,PROD00170,2,806200.0
TI00000318,TXN0000110,PROD00068,3,189500.0
TI00000319,TXN0000110,PROD00024,4,595000.0
TI00000320,TXN0000111,PROD00012,3,744700.0
TI00000321,TXN0000111,PROD00068,2,189500.0
TI00000322,TXN0000111,PROD00113,3,4916800.0
TI00000323,TXN0000111,PROD00120,1,283500.0
TI00000324,TXN0000112,PROD00139,2,621000.0
TI00000325,TXN0000112,PROD00106,1,610900.0
TI00000326,TXN0000112,PROD00151,4,116700.0
TI00000327,TXN0000113,PROD00176,1,168200.0
TI00000328,TXN0000113,PROD00122,4,2205900.0
TI00000329,TXN0000113,PROD00147,1,229500.0
TI00000330,TXN0000113,PROD00061,2,8063300.0
TI00000331,TXN0000113,PROD00077,1,37900.0
TI00000332,TXN0000114,PROD00055,2,29300.0
TI00000333,TXN0000114,PROD00050,1,134700.0
TI00000334,TXN0000115,PROD00153,3,121800.0
TI00000335,TXN0000115,PROD00067,1,1694500.0
TI00000336,TXN0000116,PROD00102,4,171600.0
TI00000337,TXN0000116,PROD00142,1,324600.0
TI00000338,TXN0000116,PROD00084,4,1607800.0
TI00000339,TXN0000116,PROD00071,1,501200.0
TI00000340,TXN0000116,PROD00134,4,1383900.0
TI00000341,TXN0000117,PROD00151,1,116700.0
TI00000342,TXN0000117,PROD00150,3,874600.0
TI00000343,TXN0000117,PROD00026,3,1447900.0
TI00000344,TXN0000117,PROD00028,4,497400.0
TI00000345,TXN0000117,PROD00145,3,626300.0
TI00000346,TXN0000118,PROD00156,4,117900.0
TI00000347,TXN0000118,PROD00122,2,2205900.0
TI00000348,TXN0000118,PROD00010,4,675900.0
TI00000349,TXN0000118,PROD00045,1,75500.0
TI00000350,TXN0000118,PROD00071,4,501200.0
TI00000351,TXN0000119,PROD00013,3,1045000.0
TI00000352,TXN0000119,PROD00122,3,2205900.0
TI00000353,TXN0000120,PROD00080,1,204100.0
TI00000354,TXN0000120,PROD00072,2,470400.0
TI00000355,TXN0000120,PROD00126,2,219500.0
TI00000356,TXN0000121,PROD00069,1,145200.0
TI00000357,TXN0000121,PROD00107,2,75800.0
TI00000358,TXN0000121,PROD00155,4,277300.0
TI00000359,TXN0000122,PROD00133,2,521500.0
TI00000360,TXN0000122,PROD00096,1,366200.0
TI00000361,TXN0000122,PROD00015,3,327100.0
TI00000362,TXN0000122,PROD00132,4,6814300.0
TI00000363,TXN0000123,PROD00015,1,327100.0
TI00000364,TXN0000123,PROD00064,4,1537200.0
TI00000365,TXN0000124,PROD00071,4,501200.0
TI00000366,TXN0000124,PROD00095,4,428500.0
TI00000367,TXN0000125,PROD00062,3,83600.0
TI00000368,TXN0000126,PROD00151,2,116700.0
TI00000369,TXN0000126,PROD00142,3,324600.0
TI00000370,TXN0000126,PROD00090,1,838900.0
TI00000371,TXN0000126,PROD00089,3,11224800.0
TI00000372,TXN0000127,PROD00042,2,110400.0
TI00000373,TXN0000128,PROD00167,1,79900.0
TI00000374,TXN0000128,PROD00105,1,76100.0
TI00000375,TXN0000128,PROD00132,4,6814300.0
TI00000376,TXN0000129,PROD00058,3,1306500.0
TI00000377,TXN0000130,PROD00109,4,3001900.0
TI00000378,TXN0000130,PROD00097,3,2301200.0
TI00000379,TXN0000130,PROD00090,2,838900.0
TI00000380,TXN0000131,PROD00027,3,124600.0
TI00000381,TXN0000131,PROD00002,3,1365600.0
TI00000382,TXN0000131,PROD00131,1,2828000.0
TI00000383,TXN0000131,PROD00170,4,806200.0
TI00000384,TXN0000131,PROD00096,1,366200.0
TI00000385,TXN0000132,PROD00071,3,501200.0
TI00000386,TXN0000132,PROD00067,2,1694500.0
TI00000387,TXN0000132,PROD00168,2,54200.0
TI00000388,TXN0000133,PROD00015,4,327100.0
TI00000389,TXN0000133,PROD00154,3,192800.0
TI00000390,TXN0000134,PROD00076,4,609300.0
TI00000391,TXN0000134,PROD00067,1,1694500.0
TI00000392,TXN0000134,PROD00108,2,570800.0
TI00000393,TXN0000134,PROD00104,3,179700.0
TI00000394,TXN0000135,PROD00172,2,162600.0
TI00000395,TXN0000135,PROD00092,2,198900.0
TI00000396,TXN0000135,PROD00130,3,213000.0
TI00000397,TXN0000135,PROD00077,1,37900.0
TI00000398,TXN0000136,PROD00047,2,165600.0
TI00000399,TXN0000136,PROD00175,3,99600.0
TI00000400,TXN0000136,PROD00086,2,8987800.0
TI00000401,TXN0000136,PROD00168,3,54200.0
TI00000402,TXN0000136,PROD00023,4,225100.0
TI00000403,TXN0000137,PROD00150,1,874600.0
TI00000404,TXN0000137,PROD00076,4,609300.0
TI00000405,TXN0000137,PROD00119,1,3450500.0
TI00000406,TXN0000138,PROD00050,4,134700.0
TI00000407,TXN0000138,PROD00129,3,67800.0
TI00000408,TXN0000138,PROD00031,4,571800.0
TI00000409,TXN0000138,PROD00175,1,99600.0
TI00000410,TXN0000139,PROD00088,4,220600.0
TI00000411,TXN0000139,PROD00105,2,76100.0
TI00000412,TXN0000140,PROD00162,1,532200.0
TI00000413,TXN0000140,PROD00046,1,314500.0
TI00000414,TXN0000140,PROD00081,4,41700.0
TI00000415,TXN0000141,PROD00148,4,272900.0
TI00000416,TXN0000141,PROD00041,1,792800.0
TI00000417,TXN0000142,PROD00123,2,520300.0
TI00000418,TXN0000142,PROD00099,3,497200.0
TI00000419,TXN0000142,PROD00002,1,1365600.0
TI00000420,TXN0000142,PROD00010,3,675900.0
TI00000421,TXN0000143,PROD00174,1,71600.0
TI00000422,TXN0000144,PROD00080,4,204100.0
TI00000423,TXN0000144,PROD00034,3,1485900.0
TI00000424,TXN0000144,PROD00027,2,124600.0
TI00000425,TXN0000145,PROD00134,4,1383900.0
TI00000426,TXN0000145,PROD00153,2,121800.0
TI00000427,TXN0000145,PROD00135,3,495100.0
TI00000428,TXN0000145,PROD00087,4,86200.0
TI00000429,TXN0000146,PROD00059,2,3249400.0
TI00000430,TXN0000147,PROD00151,2,116700.0
TI00000431,TXN0000148,PROD00160,1,297400.0
TI00000432,TXN0000148,PROD00013,1,1045000.0
TI00000433,TXN0000148,PROD00153,1,121800.0
TI00000434,TXN0000148,PROD00170,4,806200.0
TI00000435,TXN0000148,PROD00028,4,497400.0
TI00000436,TXN0000149,PROD00065,1,846500.0
TI00000437,TXN0000149,PROD00122,3,2205900.0
TI00000438,TXN0000149,PROD00180,4,96700.0
TI00000439,TXN0000149,PROD00040,1,3685900.0
TI00000440,TXN0000149,PROD00053,3,197800.0
TI00000441,TXN0000150,PROD00131,1,2828000.0
TI00000442,TXN0000151,PROD00052,3,58000.0
TI00000443,TXN0000151,PROD00068,2,189500.0
TI00000444,TXN0000151,PROD00134,1,1383900.0
TI00000445,TXN0000151,PROD00092,4,198900.0
TI00000446,TXN0000151,PROD00105,2,76100.0
TI00000447,TXN0000152,PROD00001,1,179800.0
TI00000448,TXN0000152,PROD00004,1,1254300.0
TI00000449,TXN0000153,PROD00131,1,2828000.0
TI00000450,TXN0000154,PROD00117,3,188000.0
TI00000451,TXN0000154,PROD00076,4,609300.0
TI00000452,TXN0000155,PROD00011,3,810900.0
TI00000453,TXN0000155,PROD00075,3,382900.0
TI00000454,TXN0000156,PROD00003,2,623300.0
TI00000455,TXN0000157,PROD00113,1,4916800.0
TI00000456,TXN0000157,PROD00160,3,297400.0
TI00000457,TXN0000157,PROD00069,3,145200.0
TI00000458,TXN0000158,PROD00103,4,499800.0
TI00000459,TXN0000158,PROD00117,4,188000.0
TI00000460,TXN0000158,PROD00070,2,191800.0
TI00000461,TXN0000158,PROD00099,1,497200.0
TI00000462,TXN0000159,PROD00152,4,170900.0
TI00000463,TXN0000159,PROD00124,2,11671600.0
TI00000464,TXN0000159,PROD00146,4,647500.0
TI00000465,TXN0000159,PROD00174,3,71600.0
TI00000466,TXN0000160,PROD00125,1,716900.0
TI00000467,TXN0000160,PROD00029,1,747300.0
TI00000468,TXN0000160,PROD00106,3,610900.0
TI00000469,TXN0000160,PROD00113,3,4916800.0
TI00000470,TXN0000161,PROD00177,2,228400.0
TI00000471,TXN0000161,PROD00180,4,96700.0
TI00000472,TXN0000161,PROD00159,3,3240200.0
TI00000473,TXN0000161,PROD00025,4,57900.0
TI00000474,TXN0000161,PROD00111,2,5440300.0
TI00000475,TXN0000162,PROD00165,2,242000.0
TI00000476,TXN0000163,PROD00043,2,223400.0
TI00000477,TXN0000163,PROD00020,3,176500.0
TI00000478,TXN0000163,PROD00126,3,219500.0
TI00000479,TXN0000163,PROD00083,1,6771700.0
TI00000480,TXN0000164,PROD00165,4,242000.0
TI00000481,TXN0000164,PROD00097,4,2301200.0
TI00000482,TXN0000164,PROD00104,4,179700.0
TI00000483,TXN0000164,PROD00061,1,8063300.0
TI00000484,TXN0000164,PROD00021,4,423700.0
TI00000485,TXN0000165,PROD00027,4,124600.0
TI00000486,TXN0000166,PROD00024,3,595000.0
TI00000487,TXN0000167,PROD00168,4,54200.0
TI00000488,TXN0000167,PROD00172,3,162600.0
TI00000489,TXN0000168,PROD00085,4,262600.0
TI00000490,TXN0000168,PROD00144,3,2659900.0
TI00000491,TXN0000168,PROD00159,4,3240200.0
TI00000492,TXN0000168,PROD00154,1,192800.0
TI00000493,TXN0000169,PROD00001,3,179800.0
TI00000494,TXN0000169,PROD00088,3,220600.0
TI00000495,TXN0000170,PROD00180,2,96700.0
TI00000496,TXN0000170,PROD00028,4,497400.0
TI00000497,TXN0000170,PROD00012,2,744700.0
TI00000498,TXN0000171,PROD00157,1,6815900.0
TI00000499,TXN0000171,PROD00051,4,752100.0
TI00000500,TXN0000171,PROD00049,2,244600.0
TI00000501,TXN0000172,PROD00087,4,86200.0
TI00000502,TXN0000172,PROD00028,1,497400.0
TI00000503,TXN0000173,PROD00169,4,6358700.0
TI00000504,TXN0000173,PROD00151,1,116700.0
TI00000505,TXN0000173,PROD00130,1,213000.0
TI00000506,TXN0000173,PROD00035,4,3271400.0
TI00000507,TXN0000174,PROD00046,1,314500.0
TI00000508,TXN0000174,PROD00178,4,55100.0
TI00000509,TXN0000174,PROD00149,3,370000.0
TI00000510,TXN0000174,PROD00045,4,75500.0
TI00000511,TXN0000174,PROD00033,4,10971800.0
TI00000512,TXN0000175,PROD00088,2,220600.0
TI00000513,TXN0000175,PROD00076,4,609300.0
TI00000514,TXN0000175,PROD00116,3,561100.0
TI00000515,TXN0000175,PROD00035,3,3271400.0
TI00000516,TXN0000176,PROD00052,3,58000.0
TI00000517,TXN0000176,PROD00054,3,1692000.0
TI00000518,TXN0000177,PROD00139,3,621000.0
TI00000519,TXN0000177,PROD00178,4,55100.0
TI00000520,TXN0000177,PROD00164,4,103200.0
TI00000521,TXN0000177,PROD00083,3,6771700.0
TI00000522,TXN0000177,PROD00030,4,10909100.0
TI00000523,TXN0000178,PROD00007,4,456400.0
TI00000524,TXN0000179,PROD00052,3,58000.0
TI00000525,TXN0000180,PROD00175,1,99600.0
TI00000526,TXN0000180,PROD00065,3,846500.0
TI00000527,TXN0000180,PROD00038,2,3280700.0
TI00000528,TXN0000181,PROD00116,2,561100.0
TI00000529,TXN0000181,PROD00027,4,124600.0
TI00000530,TXN0000181,PROD00158,2,488300.0
TI00000531,TXN0000182,PROD00100,1,546800.0
